objectid,filename,title,format,youtubeid,vimeoid,lattitude,longitude ,date,subject,location,creator,description,source,identifier,type
1.03.11,,Rocky Mountain Hardwoods ,,,,,,,Architecture,,Brookside Veneers LTD. ,"Palette of wood veneer samples sourced sustainably. Sourced from Italy. Braewood is produced by laminating Brookline veneer into a paper impregnated with phenolic resin The resulting product can be fabricated with the ease of a decorative laminate and requires only light sanding before finishing. Note- Prefinished coating is a matte polyurethane coating, resistant to water and heat. Each sheet is post-formable and available with a protective peel sheet. Contains: Brookline F/C White Oak; Brookline F/C Brown Ash; Brookline QTR. Maple; Brookline F/C Walnut; Brookline QTR. Macassar Ebony; Brookline F/C Teak; Brookline QTR. Mahogany; Braewood Prefinished QTR. Ash; Braewood Platinum; Maple Pommele; Braewood Italo Pearl; Braewood Prefinished QTR. Maple; Braewood Pre-finsihed F/C Walnut; Braewood Pre-Finished QTR. Classic Mahogany; Braewood Qtr. Ebony; Braewood QTR. Classic Mahogany; Braewood F/C Mahogany; Braewood F/C Maple; Braewood F/C Cherry; Braewood Butternut; Brookline PaperBack SnowWhite; Brookline PaperBack Brandied Peach B.E.; Brookline PaperBack Walnut Burl; Brookline PaperBack Carpathian Burl; Brookline PaperBack Quilted Maple; Brookline PaperBack Olive Ash Burl; Braewood QTR Ash; Braewood F/C Rosewood; Braewood Prima Birdseye; Braewood Figured Maple; Brookline Paperback F/C Cherry; Braewood Pre-Finished F/C White Oak; Braewood Pre-Finished F/C Maple; Braewood Pre-Finished QTR. Wenge overstained; Braewood Pre-Finished Butternut; Braewood Pre-Finished Platinum; Braewood Pre-Finished Prima Birdseye; Braewood Pre-Finished Italo Pearl; ",Rocky Mountain Hardwoods,wood ,veneer
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1.04.01,,landscapeforms Wood Swatch,,,,,,,Architecture,,landscape forms -- 800-521-2546,"Swatch of finished wood samples including Ipe; Jarrah; Redwood, LF-80 Finish Jarrah, LF-80 Finish Oak; LF-80 Finish Maple",landscapeforms -- 800-521-2546,wood ,"stained/ finished, for visible use"
1.04.02,,Fuse Rustic Collection finished wood samples,,,,,,,Architecture,,Fuse Rustic Collection-- www.fusehardwood.com -- 616-258-8938," Include:Reed, Thistle, Shoreline, Urban Steel, Smokehouse, Bengal, Spoke, Ghost, Vellum, Dawn, Byre, Gauntlet, Dusk, Urban Leather, White Raw, Cherry Wheat, Cinder, Tavern, Cherry Char, Whiskey",Fuse Rustic Collection-- www.fusehardwood.com -- 616-258-8938,wood ,"stained/ finished, for visible use"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1.04.07,,Nydree Engineered Acrylich Inpregnated Wood Flooring,,,,,,,Architecture,,"Nydree Flooring, 1191 Venture Drive Forest, VA 24551, 800-682-5698","Engineered Multi-Ply Cross-Grain Construction, commercially proven acrylic impregnated wear layer, precision tongue and groove sides with micro bevel edges, lifetime limited acylic wear warranty, lifetime limited structural defect warranty","Wall Resources, Inc. 7100 N. Broadway, Suite 8-C, Denver, CO 80221, 303 -433-9857, info@wallresources.com",wood ,finished flooring
1.04.08,,"Architectural Systems Inc, Reclaimed Barn Wood - Wire Brush Red",,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - SKU: WPCLB026 - Color: Wirebrush Red - Thickness: 5/8"" - Width: RW 4 1/2"" - 10 1/2"" - Lenth: RL 4'-12' - Species: Mixed Species - Finish: Mixed Species ",Architectural Systems Inc. sales@archsystems.com,wood ,exterior pannelig
1.04.09,,Chromatic Wood Panels - Light Char,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL003 - Color: Light Char - Thickness: 1"" - Width: 6"" - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling
1.04.10,,Chromatic Wood Panels - Heavy Char,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL0025 - Color: Heavy Char - Thickness: 1"" nominal - Width: 6"" nominal - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling
1.04.11,,Chromatic Wood Panels - Lune,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL013 - Color: Lune - Thickness: 1"" nominal - Width: 6"" nominal - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling
1.04.12,,Chromatic Wood Panels - Etain,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL002 - Color: Etain - Thickness: 1"" nominal - Width: 6"" nominal - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling
1.04.13,,Chromatic Wood Panels - Opaline,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL009 - Color: Opaline - Thickness: 1"" nominal - Width: 6"" nominal - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1.04.22,,Dolce Janus et Cie - JANUSfiber,,,,,,,Architecture,,"Janus et Cie, Corporate Headquarters, 8687 Melrose Ave. West Hollywood, CA, 90069, 310-652-7090, janusetcie.com","JANUS et Cie's hand-woven JANUSfiber is a distinctive synthetic material; unique in quality, performance and appearance. This environmentally friendlyfiber withstands exposure to ultraviolet light, is weather and tear resistant, mainenance free and completelty recyclable. Certified Women's business enterprise ","Janus et Cie, Corporate Headquarters, 8687 Melrose Ave. West Hollywood, CA, 90069, 310-652-7090, janusetcie.com",synthetic wood,visable outdoor/ indoor uses
1.04.23,,,,,,,,,,,,no info,,,
1.04.24,,,,,,,,,,,,no info,,,
1.05.01,,WOODWORKS Channeled Ceilings and Walls - Dark Cherry,,,,,,,Architecture,,Armstrong,WOODWORKS Channeled Ceilings and Walls - Natural Variations Light Cherry - 5mm profile with 3mm Groove - Real wood veneer on fire retardant medium density fiberboard - armstrong.com woodworks,https://armstrong.com/,wood ,Wood ceiling panneling 
1.05.02,,WOODWORKS Channeled Ceilings and Walls - Maple,,,,,,,Architecture,,Armstrong,WOODWORKS Channeled Ceilings and Walls - Natural Variations Maple - 13mm profile with 3mm Groove - Real wood veneer on fire retardant medium density fiberboard - armstrong.com woodworks,https://armstrong.com/,wood ,Wood ceiling panneling 
1.05.03,,WOODWORKS Channeled Ceilings and Walls -Light Cherry,,,,,,,Architecture,,Armstrong,WOODWORKS Channeled Ceilings and Walls - Natural Variations Light Cherry - 25mm profile with 3mm Groove - Real wood veneer on fire retardant medium density fiberboard - armstrong.com woodworks,https://armstrong.com/,wood ,Wood ceiling panneling 
1.05.04,,Kaswell Flooring Systems - Mesquite with 2-6-1 oil ,,,,,,,Architecture,,Kaswell Flooring Systems,"Mesquite with 2-6-1 oil finish-- 58 Pearl St., P.o Box 549, Farmingham, Massachusetts 01704-0549",Kaswell Flooring Systems,wood ,wood flooring 
1.05.05,,Cumaru Decking: Brazilian Teak,,,,,,,Landscape; Architecture,,Advantage Lumber,Profile: Standard - Size: 21mx6 - www.AdvantageLumber.com/cumaru_decking.htm,https://www.advantagelumber.com/cumaru_decking.htm,wood ,Wood decking
1.05.06,,Handrail Sample,,,,,,,Architecture,,Cervantes/ Salgado,Cervantes/Salgado - Architectural Woodworking - Description: 695 Hawthorn Mall - Handrail Sample,www.cswoodword.com,wood,wood panneling
1.05.07,,Kentwood - Acacia Natural - Tongue and Groove ,,,,,,,Architecture,,Kentwood,Kentwood - Acacia Natural - Engineered Hardwood - Kentwood originals - 4 3/4 x 9/16 x assorted lengths - 120mm x14mm x assorted lengths - SKU: 31338 Grade: Country,https://kentwoodfloors.com/us,wood veneer,Wood Flooring
1.05.08,,Reclaimed Barn Wood - Natural Patina ,,,,,,,Architecture,,Architectural Systems Inc. ,"Architectural Systems, INC - Spec ID#: WPCLB023 - Color: Natural Patina - Thickness: 5/8"" - Width: RW 4' 1/2"" - 10' 1/2"" - Lenth: RL 4'-12"" - Species: Mixed Species - Finish: Unfinished",,,
1.05.09,,Reclaimed Barn Wood - Milled Silver,,,,,,,Architecture,,Architectural Systems Inc. ,"Architectural Systems, INC - Spec ID#: WPCLB027 - Color: Milled Silver - Thickness: 5/8"" - Width: RW 4' 1/2"" - 10' 1/2"" - Lenth: RL 4'-12"" - Species: Mixed Species - Finish: Prefinished",,,
1.05.10,,Reclaimed Barn Wood - Weathered Nickel,,,,,,,Architecture,,Architectural Systems Inc. ,"Architectural Systems, INC - Spec ID#: WPCLB025 - Color: Wreather Nickel - Thickness: 5/8"" - Width: RW 4' 1/2"" - 10' 1/2"" - Lenth: RL 4'-12"" - Species: Mixed Species - Finish: Prefinished",,,
1.05.11,,Reclaimmed Barn Wood - Rustic White ,,,,,,,Architecture,,Architectural Systems Inc. ,"Spec ID#: WPCLB024 -- Color: Rustic White -- Thichness: 5/8"" -- RW 4 1/2"" - 10 1/2"" -- Length: RL 4'-12' -- Species: Mixed Species -- Finish: Unfinished with color wash ",,wood,wood panneling
1.05.12,,WOODWORKS Ceilings -swatch,,,,,,,Architecture,,Armstrong,"Include: Bamboo - Patins**, Native (premium option) - Natural Variation - Beech, Maple*, Light Cherry, Dark Cherry** - Constants - Maple, Cherry, Walnut - Custom Veneers also avaliable *Perforated veneers included **Additional actual thickness samples included - armstrong.com/woodworks",https://armstrong.com/,wood,wood panneling 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
01.05.18,,"Premier Architectural Products,, light laminate wood",,,,,,,Architecture,,Premier Architectural Products,"genuine wood,, laminated, extremely fine grain,, light stain,, ""stained to match Eastern Walnut-3104-VNR",,wood,wood panneling
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
01.05.23,,"Premier Architectural Products,, dark walnut ",,,,,,,,,Premier Architectural Products,"genuine wood, stained, dark walnut, fine grain, polished, Item # WD-1 Maple QTR solid. Color- stain to match 3103-VNR-MARIN",,wood,wood panneling
,,,,,,,,,,,,,,,
01.05.25,,"Deacoustics, walnut sample",,,,,,,Architecture,,Certainteed,"Quadrillo-deacoustics brand, walnut wood, grooved&grated sample, ",https://www.certainteed.com/products/ceiling-wall-systems-products/decoustics-quadrillo-wood-ceilings-and-walls,Wood,Wood ceiling; Wood flooring
01.05.26,,"GAR products, synthetic teak weathered grey",,,,,,,Architecture; Landscape; Product Design,,GAR Products,"GAR Products, synthetic teak weathered gray wood sample -- 170 Lehigh Ave, Lakewood NJ 08701, 732-364-2100",https://garproducts.com/,synthetic wood,Wood finish
01.05.27,,"Bison Innovative Products, FSC Ipê Wood Tile Sample",,,,,,,Architecture; Landscape ,,Bison Innovative Products,"Bison Innovative Products (brand), FSC--Forest Stewardship Council Certified, unpolished, dark stain, fine grain",https://bisonip.com/,Wood,Wood tiles
,,,,,,,,,,,,,,,
01.05.29,,GAR products synthetic teak natural ,,,,,,,Architecture; Landscape; Product Design,,GAR Products,"GAR Products, Synthetic Teak Natural color, immitation wood",https://garproducts.com/,synthetic wood,Wood finish
01.05.30,,"Bison Innovative Products, Mahogany Tile Sample",,,,,,,Architecture; Landscape ,,Bison Innovative Products,"Bison Innovative Products Mahogany Tile Sample, mid-weight grain, smooth surface",https://bisonip.com/,Wood ,Wood tiles
01.05.31,,"Bison Innovative Products, Ipê tile sample",,,,,,,Architecture; Landscape ,,Bison Innovative Products,"Bison Innovative Products Ipê tile sample, smooth surface, dark stair, mid-large grain",https://bisonip.com/,Wood ,Wood tiles
01.06.01,,Panashpere premium surfaces Arusha wenge,,,,,,,Architecture; Landscape ,,,"Panasphere brand, Arushna Wenge (16011), dark stain, large grain, imitation wood, available in 1/4"" or 3/4""",panaspheresurfaces.com,wood,wood panneling (imitation- plastic)
01.06.02,,Landscape Forms Jarrah Wood,,,,,,,Architecture; Landscape Architecture,,Landscape Forms ,"Landscape Form Jarrah Wood, ""Interior Finish"", red stain, fine grain",www.landscapeforms.com,wood,interior panneling
01.06.03,,"Geolam brand wood polyproplene composite, Ebony color",,,,,,,Architecture; Landscape ,,Geolam,"Geolam brand sustainable wood polypropylene composite, Ebony Color",https://usa.geolam.com/,Wood-polypropylene composite (WPC),Cladding; Soffits; Decking; Architecture Elements
01.06.04,,"Geolam brand wood polyproplene composite, Rosewood color",,,,,,,Architecture; Landscape ,,Geolam,"Geolam brand wood sustainable polypropylene composite, rosewood color",https://usa.geolam.com/,Wood-polypropylene composite (WPC),Cladding; Soffits; Decking; Architecture Elements
01.06.05,,Advantagelumber.com Ipê decking,,,,,,,Architecture; Landscape ,,Advantage Lumber,"Advantagelumber.com, www.Ipedepot.com Ipê decking, Brazillian Walnut, mid grain, Profile: Standard, Size: 1x4",https://www.advantagelumber.com/cumaru_decking.htm,wood ,Wood decking
01.06.06,,Advantagelumber.com Cumaru Decking (Brazillian Teak),,,,,,,Architecture; Landscape ,,Advantage Lumber,"Advantagelumber.com.cumaru_decking.htm, 877-232-3915 Cumaru Decking (Brazillian Teak), mid grain, light stain, profile: standard, size: 21mx6, ",https://www.advantagelumber.com/cumaru_decking.htm,wood ,Wood decking
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
01.06.09,,Solo decoustics sound deadening ,,,,,,,Architecture; Product Design,,Certainteed,"Solo decoustics brand sound deadening material, wood, beech, light color ",https://www.certainteed.com/products/ceiling-wall-systems-products/decoustics-solo,Wood,Wood panels; Wood planks
01.06.10,,"ASI wood pannels, Bamboo pannel sample, vertical grain, light color",,,,,,,Architecture; Product Design,,ASI Architectural,"ASI wood pannels, Bamboo pannel sample, vertical grain natural, light color, fine grain",https://www.asiarchitectural.com/,Wood,Wood panels
01.06.11,,"ASI wood pannels, Bamboo pannel sample, horizontal grain, light tan",,,,,,,Architecture; Product Design,,ASI Architectural,"ASI wood pannels, Bamboo pannel sample, horizontal grain carbonized, light tan, fine grain",https://www.asiarchitectural.com/,Wood,Wood panels
01.06.12,,"ASI wood pannels, Bamboo pannel sample, horizontal grain, light color",,,,,,,Architecture; Product Design,,ASI Architectural,"ASI wood pannels, Bamboo pannel sample, Horizontal grain natural, fine grain, light color",https://www.asiarchitectural.com/,Wood,Wood panels
01.06.13,,"ASI wood pannels, Bamboo pannel sample, vertical grain, light tan",,,,,,,Architecture; Product Design,,ASI Architectural,"ASI wood pannels, Bamboo pannel sample, Vertical Grain, Carbonized, light tan, fine grain",https://www.asiarchitectural.com/,Wood,Wood panels
01.06.14,,Kirei Board sample,,,,,,,Architecture; landscape architecture; product design,,Kireiusa,"Kirei Board sample, sustainable, created from reclaimed agricultural fiber, light color, large grain, wood composite",www.kireiusa.com,wood,wood panneling
01.07.01,,"ColdSpring - Mountain Green, Thermal finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Mountain Green, Thermal Finish, Quarry: Jay-NY",https://coldspringusa.com/,Stone,Stone finishes
01.07.02,,"ColdSpring - Echo Lake, Thermal Finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Echo Lake, Thermal Finish, Quarry: Orr-Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.03,,"ColdSpring - Mesabi Black, Textured finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Mesabi Black, Textured Finish, Quarry: Babbit, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.04,,"ColdSpring - Mesabi Black, Thermal Finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring brand, Mesabi Black, Thermal Finish, Quarry: Ely, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.05,,"ColdSpring - Mesabi Black, Diamond 10 finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Mesabi Black, Diamond 10 Finish, Quarry: Babbit, Minesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.06,,"ColdSpring - Mesabi Black, Antique finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring brand, Mesabi Black, Antique Finish, Quarry: Babbit, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.07,,"ColdSpring - Mesabi Black, Pacific finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Mesabi Black, Pacific Finish, Quarry: Babbit, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.08,,"ColdSpring - Curava Recycled Glass surfaces, Artic",,,,,,,Architecture; Product Design,,Curava,"Curava Recycled Glass surfaces brand, Artic Finish",https://www.curava.com/,Recycled glass; Quartz,Countertop
01.07.09,,"ColdSpring - Kenoran Sage, Thermal finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Kenoran Sage, Thermal Finish, Quarry: Kenora, Ontario",https://coldspringusa.com/,Stone,Stone finishes
01.07.10,,"ColdSpring - Mesabi Black, Diamond 8 finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring brand, Mesabi Black, Diamond 8 Finish, Quarry: Babbit, Minnesota ",https://coldspringusa.com/,Stone,Stone finishes
01.07.11,,"ColdSpring - Carnelian, Thermal Finish ",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring brand, Carmelian, Thermal Finish, Quarry: Milbank, South Dakota",https://coldspringusa.com/,Stone,Stone finishes
01.07.12,,"Cold Spring - Mesabi Black, Polished Finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring, Mesabi Black, Polished Finish, Quarry: Babbit, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.13,,"Cold Spring - Rockville White, Thermal Finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Rockville White, Thermal Finish, Quarry: Rockville, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.14,,"Cold Spring - Sunset Red, Thermal Finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring brand, Sunset Red, Thermal Finish, Quarry: Marble Falls, Texas",https://coldspringusa.com/,Stone,Stone finishes
01.07.15,,"Cold Spring - Charcoal Black, Thermal Finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring brand, Charcoal Black, Thermal Finish, Quarry: St.Cloud, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.16,,"ColdSpring - Mesabi Black, Diamond 200 finish, Diamond 200 Finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Mesabi Black, Diamond 200 Finish, Quarry: Babbit, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.17,,"ColdSpring - Mesabi Black, Diamond 100 finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Mesabi Black, Diamond 100 Finish, Quarry: Babbit, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.18,,"ColdSpring - Academy Black, Thermal finsih",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Academy Black, Thermal Finish, Quarry: Clovis, California",https://coldspringusa.com/,Stone,Stone finishes
01.07.19,,"ColdSpring - Mesabi Black, Rub and Sand finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring Brand, Mesabi Black, Rub and Sand Finish, Quarry: Babbit, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
01.07.20,,"ColdSpring - Sierra White, Thermal finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring brand, Sierra White, Thermal Finish, Quarry: Raymond, California",https://coldspringusa.com/,Stone,Stone finishes
01.07.21,,"ColdSpring - Mesabi Black, Diamond 5 finish",,,,,,,Architecture; Product Design,,Coldspring,"Cold Spring brand, Mesabi Black, Diamond 5 finish, Quarry: Babbit, Minnesota",https://coldspringusa.com/,Stone,Stone finishes
1.08.01,,Pure Freeform - Custom Panels for the Curious ,,,,,,,Architecture; Product Design,,Pure Freeform,"Metalic panels with wood finished - Intendend for interior or Exterior applications - Common application include exterior cladding/wall panels, soffits and - interior wall adn ceiling systems - www.purefreeform.com - Includes: Itacian Ash, Baltic Ash, Miele Maple, Weathered Oak, Sagg Shell, Silvered Wood, Roma Noce, Spooner Grain",www.purefreeform.com,Metal,Surface Finish
1.08.02,,Oberflex Inc. - Wood Swatch,,,,,,,Architecture; Landscape; Product Design,,Oberflex,"Includes: White Ash, White Birch, Red Birch, Cherry, Maple, Red Oak , White Oak, Teak, Walnut",https://www.ober-surfaces.com/en/oberflex.html,Wood veneer,Wood finishes
1.08.03,,Source - Standard wood finished Swatch ,,,,,,,"Architecture; Landscape Architecture, Product Design",,Source,"Includes: Weathered medium, walnut, dark walnut, cherry, mahogany, espresso, natural, warm cherry, weathered light, Sutton, MA 01590, 800-722-0474",sourceinternationaldesign.com,wood,wood finish
,,,,,,,,,,,,,,,
1.08.05,,Braewood Prefinished - swatch,,,,,,,Architecture; Product Design,,World Panel Products,"Includes: White Oak, Red Oak, Classic Mahogany, Maple, Ash, Cherry, Butternut, Platinum, Italo Pearl",https://www.worldpanel.com/braewood,Wood veneer,Wood finish
1.08.06,,Braewood Prefinished - swatch,,,,,,,Architecture; Product Design,,World Panel Products,"Includes: Antique Chery, Plank Teak, Old English Mahogany, Indian Rosewood, Regatta Birdseye, Carmine Birdseye, Golden Maple, Red Maple, Italian, Yew, Cherry Burl, Parchment, Almond, Hazelnut, Apricot, Adobe, Terracotta, Rouge, Spruce, Hearthstone",https://www.worldpanel.com/braewood,Wood veneer,Wood finish
1.08.07,,Ober - Pastel Wood Swatch ,,,,,,,Architecture; Landscape; Product Design,,Oberflex,"Wood veneer, light beige to light brown wood base, slightly meshed, 919-855-8181",https://www.ober-surfaces.com/en/oberflex.html,Wood veneer,Wood finish
,,,,,,,,,,,,,,,
1.08.09,,Premium Wood Kraft-semi transparent stains-Howlles Hanley- KWAL Paint,,,,,,,Architecture; Product Design; Landscape Design,,Howells Hanely,"Wood stain palatte including: White Birch, Sea Gull Gray, Beachwood Gray, Canyon Gray, Smoke Blue, Hamilton Blue, Cedar, Russet, New Redwood, Sierra Redwood, Tahoe Brown, Natural Cedarwood, Sequoia Redwood, Cordoba",,wood stain,wood finish
,,,,,,,,,,,,,,,
